State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Sabarkantha,Modasa(Tintoi),Maize,"Hybrid Red (Cattle Feed)",Non-FAQ,24/09/2025,1950,2100,2100
Gujarat,Surat,Surat,Beetroot,Other,FAQ,24/09/2025,1500,2400,1950
Gujarat,Surat,Surat,"Bitter gourd",Other,FAQ,24/09/2025,2500,4500,3500
Gujarat,Surat,Surat,"French Beans (Frasbean)",Other,FAQ,24/09/2025,4000,5500,4750
Gujarat,Surat,Surat,Ginger(Green),Other,FAQ,24/09/2025,2000,5000,3500
Gujarat,Surat,Surat,"Kartali (Kantola)",Other,FAQ,24/09/2025,9000,10000,9500
Gujarat,Surat,Surat,"Little gourd (Kundru)",Other,FAQ,24/09/2025,5000,7500,6250
Gujarat,Surat,Surat,"Mango (Raw-Ripe)",Other,FAQ,24/09/2025,6000,7500,6750
Gujarat,Surat,Surat,Onion,Other,FAQ,24/09/2025,500,1700,1100
Gujarat,Surat,Surat,"Pointed gourd (Parval)",Other,FAQ,24/09/2025,5000,6000,5500
Gujarat,Surat,Surat,Pumpkin,Other,FAQ,24/09/2025,1300,2800,2050
Gujarat,Surat,Surat,"Turmeric (raw)",Other,FAQ,24/09/2025,4500,11500,8000
Gujarat,Surendranagar,"Dasada Patadi","Isabgul (Psyllium)","Isabgul (Psyllium)",FAQ,24/09/2025,8250,9005,8750
Gujarat,Surendranagar,Vadhvan,Apple,Apple,Medium,24/09/2025,5000,6000,5500
Gujarat,Surendranagar,Vadhvan,"Banana - Green","Banana - Green",FAQ,24/09/2025,500,1000,750
Gujarat,Surendranagar,Vadhvan,Coriander(Leaves),Coriander,FAQ,24/09/2025,4000,5000,4500
Gujarat,Surendranagar,Vadhvan,Cucumbar(Kheera),Cucumbar,FAQ,24/09/2025,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,Drumstick,Drumstick,FAQ,24/09/2025,5000,6000,5500
Gujarat,Surendranagar,Vadhvan,Lemon,Lemon,FAQ,24/09/2025,2500,3000,2750
Gujarat,Surendranagar,Vadhvan,"Peas Wet","Peas Wet",FAQ,24/09/2025,10500,11000,10750
Gujarat,Surendranagar,Vadhvan,Potato,Potato,Non-FAQ,24/09/2025,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,Raddish,Raddish,FAQ,24/09/2025,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,Spinach,Spinach,FAQ,24/09/2025,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,Tinda,Tinda,FAQ,24/09/2025,4000,5000,4500
Gujarat,Vadodara(Baroda),Padra,"Bitter gourd",Other,FAQ,24/09/2025,1500,2250,1900
Gujarat,Vadodara(Baroda),Padra,"Bottle gourd",Other,FAQ,24/09/2025,2000,3500,2750
Gujarat,Vadodara(Baroda),Padra,Cowpea(Veg),Other,FAQ,24/09/2025,7000,8000,7500
Gujarat,Vadodara(Baroda),Padra,"Pegeon Pea (Arhar Fali)",Other,FAQ,24/09/2025,4000,5000,4500
Gujarat,Valsad,Chikli(Khorgam),Tinda,Other,FAQ,24/09/2025,8250,9000,8625
Haryana,Ambala,Barara,Apple,Apple,Medium,24/09/2025,4000,6000,4000
Haryana,Ambala,Barara,"Bitter gourd",Other,FAQ,24/09/2025,1000,1200,1000
Haryana,Ambala,Barara,Ginger(Green),"Green Ginger",FAQ,24/09/2025,2500,4000,2500
Haryana,Ambala,Barara,Papaya,Other,Medium,24/09/2025,2300,3000,2300
Haryana,Gurgaon,Gurgaon,Brinjal,Brinjal,FAQ,24/09/2025,1500,2500,2000
Haryana,Gurgaon,Gurgaon,Tomato,Other,FAQ,24/09/2025,1500,2500,2000
Haryana,Hissar,Barwala(Hisar),Potato,Other,FAQ,24/09/2025,800,1000,900
Haryana,Hissar,Hansi,"Bitter gourd",Other,FAQ,24/09/2025,4000,4500,4300
Haryana,Hissar,Hansi,Guava,Other,Medium,24/09/2025,3000,5000,4000
Haryana,Hissar,Hansi,"Mousambi(Sweet Lime)",Other,Medium,24/09/2025,3000,5000,4000
Haryana,Hissar,Uklana,"Bottle gourd","Bottle Gourd",FAQ,24/09/2025,1000,1200,1200
Haryana,Hissar,Uklana,Tomato,Other,FAQ,24/09/2025,1700,1800,1800
Haryana,Jhajar,Bahadurgarh,Apple,Other,Medium,24/09/2025,6000,9000,7000
Haryana,Jhajar,Bahadurgarh,Banana,Other,Medium,24/09/2025,1500,3000,2500
Haryana,Jhajar,Bahadurgarh,Carrot,Other,FAQ,24/09/2025,5500,6000,5800
Haryana,Jhajar,Bahadurgarh,Ginger(Green),Other,FAQ,24/09/2025,5500,6000,5800
Haryana,Jind,Narwana,"Sponge gourd",Other,FAQ,24/09/2025,3500,3500,3500
Haryana,Kaithal,Dhand,Apple,Other,Medium,24/09/2025,5000,6000,5800
Haryana,Kaithal,Dhand,Tomato,Deshi,FAQ,24/09/2025,2200,2500,2400
Haryana,Kurukshetra,Babain,Paddy(Dhan)(Basmati),"Basmati 1509",FAQ,24/09/2025,2750,3200,3000
Haryana,Kurukshetra,Ladwa,Banana,Other,Medium,24/09/2025,2500,3000,2500
Haryana,Kurukshetra,Ladwa,"Bitter gourd","Bitter Gourd",FAQ,24/09/2025,2200,2500,2200
Haryana,Kurukshetra,Ladwa,"Mousambi(Sweet Lime)",Mousambi,Medium,24/09/2025,3200,3500,3200
Haryana,Kurukshetra,Ladwa,Pineapple,"Pine Apple",Medium,24/09/2025,2800,3000,2800
Haryana,Kurukshetra,Ladwa,Pomegranate,Pomogranate,Medium,24/09/2025,8500,9000,8500
Haryana,Kurukshetra,Ladwa,Tomato,Tomato,Non-FAQ,24/09/2025,2500,2500,2500
Haryana,Mahendragarh-Narnaul,Narnaul,"Bottle gourd","Bottle Gourd",FAQ,24/09/2025,1000,2000,1500
Haryana,Mahendragarh-Narnaul,Narnaul,Cauliflower,Cauliflower,FAQ,24/09/2025,2000,3000,2500
Haryana,Mahendragarh-Narnaul,Narnaul,Chikoos(Sapota),Sapota,Medium,24/09/2025,5000,5000,5000
Haryana,Mahendragarh-Narnaul,Narnaul,Ginger(Green),"Green Ginger",FAQ,24/09/2025,3000,5000,4000
Haryana,Mahendragarh-Narnaul,Narnaul,"Green Chilli","Green Chilly",FAQ,24/09/2025,2000,4000,3000
Haryana,Palwal,Palwal,Paddy(Dhan)(Basmati),"Basmati 1509",FAQ,24/09/2025,2500,3000,2750
Haryana,Panipat,Panipat,Banana,Other,Medium,24/09/2025,2000,2800,2400
Haryana,Panipat,Panipat,Brinjal,"Arkasheela Mattigulla",FAQ,24/09/2025,800,1600,1200
Haryana,Panipat,Panipat,Cabbage,Other,FAQ,24/09/2025,700,1500,1100
Haryana,Panipat,Panipat,Onion,Other,FAQ,24/09/2025,500,1500,1000
Haryana,Rohtak,Meham,Apple,Apple,Medium,24/09/2025,2500,4000,3000
Haryana,Rohtak,Meham,"Bhindi(Ladies Finger)",Bhindi,FAQ,24/09/2025,3000,3000,3000
Haryana,Sonipat,Ganaur,Apple,Other,Medium,24/09/2025,5500,6000,5800
Haryana,Sonipat,Ganaur,Carrot,Carrot,FAQ,24/09/2025,3000,3500,3200
Haryana,Sonipat,Ganaur,Garlic,Average,FAQ,24/09/2025,4800,5000,4800
Haryana,Sonipat,Ganaur,Ginger(Green),"Green Ginger",FAQ,24/09/2025,4500,5000,4800
Haryana,Sonipat,Ganaur,Onion,Onion,FAQ,24/09/2025,1600,1800,1600
Haryana,Sonipat,Ganaur,Pomegranate,Pomogranate,Medium,24/09/2025,9000,10000,9500
Haryana,Sonipat,Ganaur,Potato,Potato,FAQ,24/09/2025,1400,1500,1400
Haryana,Sonipat,Ganaur,Raddish,Raddish,FAQ,24/09/2025,1800,2000,1800
Haryana,Sonipat,Ganaur,Tomato,Tomato,FAQ,24/09/2025,2800,3000,2800
Haryana,Sonipat,Gohana,Apple,Apple,Large,24/09/2025,4000,7000,6000
Haryana,Sonipat,Gohana,Cucumbar(Kheera),Other,FAQ,24/09/2025,2000,4000,3000
Haryana,Sonipat,Gohana,"Mousambi(Sweet Lime)",Other,Large,24/09/2025,2500,3000,2800
Haryana,Sonipat,Gohana,Potato,Other,Non-FAQ,24/09/2025,800,2500,1400
Haryana,Sonipat,"New Grain Market , Sonipat",Paddy(Dhan)(Basmati),"Basmati 1509",FAQ,24/09/2025,2700,2851,2851
Haryana,"Yamuna Nagar",Chhachrauli,Pumpkin,Pumpkin,FAQ,24/09/2025,1400,1400,1400
Haryana,"Yamuna Nagar",Chhachrauli,Tomato,Tomato,FAQ,24/09/2025,2800,3500,2800
Haryana,"Yamuna Nagar",Mustafabad,Potato,Other,FAQ,24/09/2025,1500,1600,1500
Haryana,"Yamuna Nagar",Sadhaura,Apple,Other,Large,24/09/2025,1000,8000,2000
Haryana,"Yamuna Nagar",Sadhaura,Cucumbar(Kheera),Cucumbar,FAQ,24/09/2025,1000,2500,2000
Haryana,"Yamuna Nagar",Sadhaura,Potato,Other,FAQ,24/09/2025,800,1200,1100
"Himachal Pradesh",Chamba,Chamba,Cucumbar(Kheera),Other,FAQ,24/09/2025,3000,3500,3250
"Himachal Pradesh",Chamba,Chamba,"Green Chilli",Other,FAQ,24/09/2025,6000,7000,6500
"Himachal Pradesh",Chamba,Chamba,Onion,Other,FAQ,24/09/2025,2000,2500,2250
"Himachal Pradesh",Chamba,Chamba,Tomato,Other,FAQ,24/09/2025,2800,3000,2900
"Himachal Pradesh",Hamirpur,Hamirpur,Cabbage,Other,FAQ,24/09/2025,3500,4000,3700
"Himachal Pradesh",Hamirpur,Hamirpur,Cucumbar(Kheera),Other,FAQ,24/09/2025,4000,4500,4200
"Himachal Pradesh",Hamirpur,Hamirpur,Guava,Other,Medium,24/09/2025,7000,7500,7200
"Himachal Pradesh",Hamirpur,Hamirpur,"Mousambi(Sweet Lime)",Other,Medium,24/09/2025,5000,5500,5200
"Himachal Pradesh",Hamirpur,Hamirpur,Potato,Desi,Non-FAQ,24/09/2025,1200,1600,1400
"Himachal Pradesh",Kangra,Dharamshala,Coriander(Leaves),Other,FAQ,24/09/2025,20000,25000,22500
"Himachal Pradesh",Kangra,Dharamshala,Garlic,Other,FAQ,24/09/2025,10000,13000,11500
"Himachal Pradesh",Kangra,Dharamshala,Onion,Other,FAQ,24/09/2025,1800,2300,2050
"Himachal Pradesh",Kangra,Dharamshala,Tomato,Other,FAQ,24/09/2025,3000,3500,3250
"Himachal Pradesh",Kangra,Kangra,"Bhindi(Ladies Finger)",Other,FAQ,24/09/2025,3000,3200,3100
"Himachal Pradesh",Kangra,Kangra,Cucumbar(Kheera),Other,FAQ,24/09/2025,3500,4000,3700
"Himachal Pradesh",Kangra,Kangra,"Mousambi(Sweet Lime)",Other,Medium,24/09/2025,5000,6000,5500
"Himachal Pradesh",Kangra,Kangra,"Peas cod",Other,FAQ,24/09/2025,13000,14000,13500
"Himachal Pradesh",Kangra,Kangra,Spinach,Other,FAQ,24/09/2025,7000,8000,7500
"Himachal Pradesh",Kangra,Kangra(Baijnath),Banana,"Banana - Ripe",Medium,24/09/2025,3500,3600,3600
"Himachal Pradesh",Kangra,Kangra(Baijnath),"Bottle gourd","Bottle Gourd",FAQ,24/09/2025,3800,4000,4000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Colacasia,Colacasia,FAQ,24/09/2025,3000,3400,3200
"Himachal Pradesh",Kangra,Kangra(Baijnath),"Peas Wet",Other,FAQ,24/09/2025,13000,13000,13000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Pumpkin,Other,FAQ,24/09/2025,2400,2500,2500
"Himachal Pradesh",Kangra,Kangra(Baijnath),Spinach,Other,FAQ,24/09/2025,4000,4000,4000
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Apple,"Kullu Royal Delicious",Medium,24/09/2025,5000,9000,7000
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"Mousambi(Sweet Lime)",Mousambi,Medium,24/09/2025,5200,5800,5500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Apple,American,Medium,24/09/2025,3000,7000,5500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Brinjal,"Arkasheela Mattigulla",FAQ,24/09/2025,3200,3500,3400
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Colacasia,Colacasia,FAQ,24/09/2025,2800,3000,2900
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Lemon,Lemon,FAQ,24/09/2025,6000,6500,6300
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)","Mousambi(Sweet Lime)",Mousambi,Medium,24/09/2025,5000,5500,5300
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Onion,Other,FAQ,24/09/2025,1800,2000,1900
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)","Peas cod",Other,FAQ,24/09/2025,13000,14000,13500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Potato,Other,FAQ,24/09/2025,1000,1600,1200
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Raddish,Other,FAQ,24/09/2025,2000,2500,2200
"Himachal Pradesh",Kangra,Palampur,"Bhindi(Ladies Finger)",Other,FAQ,24/09/2025,3000,3500,3200
"Himachal Pradesh",Kangra,Palampur,Brinjal,Brinjal,FAQ,24/09/2025,3500,4000,3700
"Himachal Pradesh",Kangra,Palampur,Cabbage,Cabbage,FAQ,24/09/2025,2500,3500,3000
"Himachal Pradesh",Kangra,Palampur,Colacasia,Colacasia,FAQ,24/09/2025,3000,3200,3100
"Himachal Pradesh",Kangra,Palampur,Mashrooms,Other,FAQ,24/09/2025,18000,20000,19000
"Himachal Pradesh",Kangra,Palampur,"Peas Wet",Other,FAQ,24/09/2025,12000,15000,13500
"Himachal Pradesh",Kangra,Palampur,"Persimon(Japani Fal)",Other,Medium,24/09/2025,5000,8000,6500
"Himachal Pradesh",Mandi,Mandi(Mandi),"Bhindi(Ladies Finger)",Bhindi,FAQ,24/09/2025,2500,3500,3000
"Himachal Pradesh",Mandi,Mandi(Mandi),"Bottle gourd","Bottle Gourd",FAQ,24/09/2025,2000,4000,3000
"Himachal Pradesh",Mandi,Mandi(Mandi),Brinjal,Other,FAQ,24/09/2025,2500,3300,3000
"Himachal Pradesh",Mandi,Mandi(Mandi),Colacasia,Colacasia,FAQ,24/09/2025,2300,4200,3500
"Himachal Pradesh",Mandi,Mandi(Mandi),"French Beans (Frasbean)","French Beans (Frasbean)",FAQ,24/09/2025,9000,9000,9000
"Himachal Pradesh",Mandi,Mandi(Mandi),Garlic,Other,FAQ,24/09/2025,6000,10000,8000
"Himachal Pradesh",Mandi,Mandi(Mandi),"Green Chilli",Other,FAQ,24/09/2025,4500,8000,6500
"Himachal Pradesh",Sirmore,"Paonta Sahib",Apple,"Kasmir/Shimla - II",Large,24/09/2025,10000,14000,12000
"Himachal Pradesh",Sirmore,"Paonta Sahib",Apple,Other,Large,24/09/2025,4000,10000,7000
"Himachal Pradesh",Sirmore,"Paonta Sahib",Capsicum,Other,FAQ,24/09/2025,6000,8000,7000
"Himachal Pradesh",Sirmore,"Paonta Sahib",Coriander(Leaves),Other,FAQ,24/09/2025,10000,12000,11000
"Himachal Pradesh",Sirmore,"Paonta Sahib","Green Chilli",Other,FAQ,24/09/2025,4000,5000,4500
"Himachal Pradesh",Sirmore,"Paonta Sahib",Potato,Other,FAQ,24/09/2025,1200,1400,1300
"Himachal Pradesh",Sirmore,"Paonta Sahib","Sponge gourd",Other,FAQ,24/09/2025,2000,3000,2500
"Himachal Pradesh",Solan,Solan,Banana,Other,Medium,24/09/2025,3600,4800,4200
"Himachal Pradesh",Solan,Solan,Cauliflower,Other,FAQ,24/09/2025,2500,4500,3500
"Himachal Pradesh",Solan,Solan(Nalagarh),Ginger(Green),"Green Ginger",FAQ,24/09/2025,4000,5000,4500
"Himachal Pradesh",Solan,Solan(Nalagarh),Lemon,Other,FAQ,24/09/2025,4000,5000,4500
"Himachal Pradesh",Solan,Solan(Nalagarh),Potato,Other,FAQ,24/09/2025,1000,1200,1100
"Himachal Pradesh",Solan,Waknaghat,Capsicum,Capsicum,FAQ,24/09/2025,1500,1500,1500
"Jammu and Kashmir",Jammu,Batote,Apple,Other,Large,24/09/2025,2800,3000,2900
"Jammu and Kashmir",Jammu,Batote,"Bhindi(Ladies Finger)",Other,FAQ,24/09/2025,2300,2500,2400
"Jammu and Kashmir",Kathua,Kathua,"Bhindi(Ladies Finger)",Other,FAQ,24/09/2025,2000,2500,2250
"Jammu and Kashmir",Kathua,Kathua,"Green Chilli",Other,FAQ,24/09/2025,5000,6000,5500
"Jammu and Kashmir",Kathua,Kathua,"Knool Khol",Other,FAQ,24/09/2025,4000,5000,4500
"Jammu and Kashmir",Kathua,Kathua,Onion,Other,FAQ,24/09/2025,1300,1500,1400
"Jammu and Kashmir",Kathua,Kathua,Papaya,Other,Medium,24/09/2025,3000,4000,3500
"Jammu and Kashmir",Kathua,Kathua,"Peas Wet",Other,FAQ,24/09/2025,18000,20000,19000
"Jammu and Kashmir",Kathua,Kathua,Pineapple,"Pine Apple",Medium,24/09/2025,4000,5000,4500
"Jammu and Kashmir",Srinagar,Parimpore,"Bhindi(Ladies Finger)",Other,FAQ,24/09/2025,4500,5000,4750
"Jammu and Kashmir",Srinagar,Parimpore,Cabbage,Other,FAQ,24/09/2025,1700,2000,1850
"Jammu and Kashmir",Srinagar,Parimpore,Grapes,Other,Large,24/09/2025,23000,24000,23500
"Jammu and Kashmir",Srinagar,Parimpore,"Knool Khol",Other,FAQ,24/09/2025,1500,2000,1750
"Jammu and Kashmir",Srinagar,Parimpore,Onion,Other,Non-FAQ,24/09/2025,1500,1700,1600
"Jammu and Kashmir",Srinagar,Parimpore,Pineapple,"Pine Apple",Large,24/09/2025,10000,12000,11000
"Jammu and Kashmir",Srinagar,Parimpore,Pomegranate,Other,Large,24/09/2025,15000,17000,16000
"Jammu and Kashmir",Udhampur,Udhampur,Onion,Other,FAQ,24/09/2025,1800,2200,2000
"Jammu and Kashmir",Udhampur,Udhampur,Papaya,Papaya,Medium,24/09/2025,4000,4500,4250
"Jammu and Kashmir",Udhampur,Udhampur,Tomato,Other,FAQ,24/09/2025,1500,2000,1750
Karnataka,Bangalore,Channapatana,Banana,"Elakki Bale",Local,24/09/2025,2000,5000,4300
Karnataka,Bangalore,Channapatana,Tomato,Tomato,Local,24/09/2025,1000,2000,1500
Karnataka,Bangalore,Ramanagara,Carrot,Carrot,Local,24/09/2025,3000,4000,3600
Karnataka,Bangalore,Ramanagara,Cauliflower,Cauliflower,Local,24/09/2025,1600,2400,2000
Karnataka,Bangalore,Ramanagara,"Knool Khol","Knool Khol",Local,24/09/2025,2800,3200,3000
Karnataka,Bangalore,Ramanagara,Snakeguard,Snakeguard,Local,24/09/2025,1000,1600,1200
Karnataka,Chamrajnagar,"Chamaraj Nagar",Beetroot,Beetroot,Local,24/09/2025,1000,1500,1300
Karnataka,Chamrajnagar,"Chamaraj Nagar",Carrot,Carrot,Local,24/09/2025,2000,2500,2300
Kerala,Alappuzha,Chengannur,"Banana - Green","Banana - Green",FAQ,24/09/2025,2900,3200,3000
Kerala,Alappuzha,Chengannur,"Bitter gourd",Other,FAQ,24/09/2025,3900,4200,4000
Kerala,Alappuzha,Chengannur,Carrot,Other,FAQ,24/09/2025,6300,6600,6400
Kerala,Alappuzha,Chengannur,"Cluster beans","Cluster Beans",FAQ,24/09/2025,3800,4100,4000
Kerala,Alappuzha,Chengannur,Drumstick,Other,FAQ,24/09/2025,9800,10200,10000
Kerala,Alappuzha,Chengannur,Ginger(Green),"Green Ginger",FAQ,24/09/2025,0,0,7000
Kerala,Alappuzha,Chengannur,Snakeguard,Other,FAQ,24/09/2025,2900,3200,3000
Kerala,Alappuzha,Cherthala,"Bitter gourd",Other,FAQ,24/09/2025,4000,4200,4100
Kerala,Alappuzha,Cherthala,Brinjal,Brinjal,FAQ,24/09/2025,3200,3400,3300
Kerala,Alappuzha,Cherthala,Carrot,Carrot,FAQ,24/09/2025,6000,6200,6100
Kerala,Alappuzha,Cherthala,Cucumbar(Kheera),Cucumbar,FAQ,24/09/2025,4000,4200,4100
Kerala,Alappuzha,Cherthala,"Green Chilli","Green Chilly",FAQ,24/09/2025,6000,6300,6100
Kerala,Alappuzha,Harippad,Beetroot,Other,FAQ,24/09/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,Cucumbar(Kheera),Other,FAQ,24/09/2025,3000,3400,3000
Kerala,Alappuzha,Harippad,Onion,Big,FAQ,24/09/2025,2200,2700,2200
Kerala,Alappuzha,Harippad,Onion,Other,FAQ,24/09/2025,5000,5500,5000
Kerala,Alappuzha,Mannar,"Banana - Green",Other,FAQ,24/09/2025,4500,4700,4600
Kerala,Alappuzha,Mannar,Cabbage,Other,FAQ,24/09/2025,4000,4200,4100
Kerala,Ernakulam,"Amalapuram  VFPCK",Banana,Poovan,Large,24/09/2025,4300,4500,4400
Kerala,Ernakulam,"KURUMASSERY VFPCK",Banana,"Nendra Bale",Large,24/09/2025,2000,3200,2500
Kerala,Ernakulam,"Nedungapra  VFPCK",Pineapple,Other,Large,24/09/2025,3000,4700,4500
Kerala,Ernakulam,"North Paravur",Alsandikai,Alsandikai,FAQ,24/09/2025,3500,4500,4000
Kerala,Ernakulam,"North Paravur",Amaranthus,Amaranthus,FAQ,24/09/2025,2000,3000,2500
Kerala,Ernakulam,"North Paravur","Banana - Green","Banana - Green",FAQ,24/09/2025,3800,4500,4000
Kerala,Ernakulam,"North Paravur",Beetroot,Beetroot,FAQ,24/09/2025,2500,3500,3000
Kerala,Ernakulam,"North Paravur",Carrot,Carrot,FAQ,24/09/2025,6200,7000,6500
Kerala,Ernakulam,"North Paravur",Garlic,Average,FAQ,24/09/2025,9000,10000,9500
Kerala,Ernakulam,"North Paravur",Ridgeguard(Tori),Other,FAQ,24/09/2025,4500,5000,4800
Kerala,Ernakulam,Perumbavoor,Brinjal,Brinjal,FAQ,24/09/2025,3000,4000,3500
Kerala,Ernakulam,Perumbavoor,Cowpea(Veg),"Cowpea (Veg)",FAQ,24/09/2025,6000,7000,6500
Kerala,Ernakulam,Perumbavoor,Ginger(Green),"Green Ginger",FAQ,24/09/2025,7500,8500,8000
Kerala,Ernakulam,Perumbavoor,"Green Chilli","Green Chilly",FAQ,24/09/2025,5000,6000,5500
Kerala,Ernakulam,Perumbavoor,Lemon,Lemon,FAQ,24/09/2025,8000,9000,8500
Kerala,Ernakulam,Perumbavoor,Tapioca,Tapioca,FAQ,24/09/2025,2300,3300,2700
Kerala,Ernakulam,"POTHANIKKADU VFPCK",Pineapple,Other,Large,24/09/2025,3550,5000,5000
Kerala,Ernakulam,Thrippunithura,Ginger(Green),"Green Ginger",FAQ,24/09/2025,9000,14000,10000
Kerala,Ernakulam,Thrippunithura,"Little gourd (Kundru)",Other,FAQ,24/09/2025,5000,6000,5200
Kerala,Ernakulam,Thrippunithura,Pineapple,"Pine Apple",Medium,24/09/2025,5500,7000,5700
Kerala,Ernakulam,Thrippunithura,Tomato,Tomato,FAQ,24/09/2025,3800,4400,4000
Kerala,Idukki,"KANTHALOOR VFPCK",Cabbage,Cabbage,FAQ,24/09/2025,1000,1500,1200
Kerala,Kannur,"Chavassery VFPCK","Banana - Green","Banana - Green",FAQ,24/09/2025,5800,5800,5800
Kerala,Kannur,Kannur,"Black pepper",Other,FAQ,24/09/2025,68500,74000,72000
Kerala,Kannur,Kannur,"Coconut Oil",Other,FAQ,24/09/2025,41666,43000,42500
Kerala,Kasargod,Neeleswaram,Amphophalus,Other,FAQ,24/09/2025,3800,4200,4000
Kerala,Kasargod,Neeleswaram,"Bitter gourd",Other,FAQ,24/09/2025,6600,7000,6800
Kerala,Kasargod,Neeleswaram,Cabbage,Other,FAQ,24/09/2025,2400,2800,2600
